model,cv_average_precision,cv_average_precision_std,cv_roc_auc,cv_roc_auc_std,cv_recall,cv_recall_std,cv_precision,cv_precision_std,cv_f2,cv_f2_std
XGBoost,0.8513377912002081,0.01688198868057038,0.8949290118427591,0.011958813855164044,0.7433505331957344,0.0363267439562634,0.7618827119934933,0.01935429799771141,0.746529976425556,0.02836114186994713
RandomForest,0.8458947258194911,0.017369985920150925,0.8927254479508024,0.010824013434994508,0.7245889232886137,0.03347971237964277,0.779452895048175,0.010605089241501872,0.7346769032422023,0.027649367154746352
LogisticRegression,0.8393906503869925,0.01780781222796999,0.888217653697367,0.01314260346581989,0.7785208118335053,0.03984274435764131,0.7176728409482849,0.01004288610987151,0.7650024502460517,0.028659628718142666
